"filename", "language", "JSON", "JavaScript", "XML", "vue", "Markdown", "JSON with Comments", "HTML", "PostCSS", "comment", "blank", "total"
"d:\vs项目\FemtoMarch\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\vs项目\FemtoMarch\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"d:\vs项目\FemtoMarch\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\vs项目\FemtoMarch\package-lock.json", "JSON", 1364, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1365
"d:\vs项目\FemtoMarch\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\vs项目\FemtoMarch\public\favicon.svg", "XML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"d:\vs项目\FemtoMarch\src\App.vue", "vue", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"d:\vs项目\FemtoMarch\src\assets\css\career-flex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 85, 0, 22, 107
"d:\vs项目\FemtoMarch\src\assets\css\career.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 113, 0, 21, 134
"d:\vs项目\FemtoMarch\src\assets\css\contactUs-flex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 103, 0, 25, 128
"d:\vs项目\FemtoMarch\src\assets\css\contactUs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 116, 2, 17, 135
"d:\vs项目\FemtoMarch\src\assets\css\culture-flex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 126, 0, 24, 150
"d:\vs项目\FemtoMarch\src\assets\css\culture.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 131, 0, 13, 144
"d:\vs项目\FemtoMarch\src\assets\css\customerService-flex.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 113, 0, 22, 135
